,0
interaction,3
college,3
lack,2
weak,2
alumni,2
major,2
faculty,2
no,1
must,1
math3,1
permanent,1
problemunderstandingubject,1
due,1
mathematiciiitaff,1
official,1
books,1
worst,1
academiceducatedelf,1
medicalnearby,1
hell,1
machine,1
vending,1
napkin,1
atleastanitary,1
emergency,1
there,1
teachercooperativeupportive,1
disciplinetaff,1
boysðŸ˜œðŸ˜œðŸ¤ª,1
prove,1
potential,1
chancehow,1
towardstudentonlyothertudentgiven,1
attention,1
pay,1
biasingthey,1
franklypeakingthe,1
missing,1
wantunleswhole,1
academics,1
only,1
activitietaken,1
relaxing,1
developmenttudentmind,1
activitieoverall,1
lacknontechincal,1
but,1
lotta,1
restroomstinkbad,1
thatworse,1
abetting,1
failtrengthen,1
companiedifficult,1
core,1
placement,1
consultancyervices,1
punishment,1
collective,1
ragging,1
takentudentindulging,1
institute,1
action,1
challenging,1
difficult,1
background,1
rural,1
hubtudentcoming,1
training,1
project,1
industry,1
setting,1
tapindividuallot,1
liberary,1
consultancy,1
condition,1
washroom,1
updatedtart,1
304,1
pclabexcept,1
facilitieworst,1
camputhat,1
classroomappropriate,1
virtual,1
proper,1
boring,1
feellikechool,1
windowcondition,1
assignmentfailalways,1
based,1
programming,1
laboratory,1
themselves,1
